,client_name,legislator,edge_type,title,party,confidence,client_industry,contract_value,issue_name,issue_description,issue_code,lobbyist_id,lobbyist_name,currently_in_office,link_source_text,legislator_icpsr,legislator_govtrack,legislator_bioguide,legislator_thomas,filing_year,client_name_unmerged_,income_per_lobbyist,registrant_id,filing_index
0,EXXON MOBIL,Sen. John Cornyn,ClientOfLobbyistLinkedTo,Sen. ,Republican,1.0,Oil and gas company.,30000.0,Taxation/Internal Revenue Code,"Tax, trade and regulatory matters impacting the oil and gas sector.",TAX,63760,JERR ROSENBAUM,1.0,"Legislative Director, Sen. John Cornyn; Chief of Staff, Rep. Robert Hurt; Chief of Staff, Rep. Jack Kingston; Chief of Staff, Rep. Virgil Goode",40305.0,300027,C001056,01692,2022,EXXON MOBIL CORPORATION,10000.0,400918672,1
1,EXXON MOBIL,Rep. Robert Hurt,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,Oil and gas company.,30000.0,Taxation/Internal Revenue Code,"Tax, trade and regulatory matters impacting the oil and gas sector.",TAX,63760,JERR ROSENBAUM,0.0,"Legislative Director, Sen. John Cornyn; Chief of Staff, Rep. Robert Hurt; Chief of Staff, Rep. Jack Kingston; Chief of Staff, Rep. Virgil Goode",21186.0,412484,H001060,02069,2022,EXXON MOBIL CORPORATION,10000.0,400918672,1
2,EXXON MOBIL,Rep. Jack Kingston,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,Oil and gas company.,30000.0,Taxation/Internal Revenue Code,"Tax, trade and regulatory matters impacting the oil and gas sector.",TAX,63760,JERR ROSENBAUM,0.0,"Legislative Director, Sen. John Cornyn; Chief of Staff, Rep. Robert Hurt; Chief of Staff, Rep. Jack Kingston; Chief of Staff, Rep. Virgil Goode",29338.0,400221,K000220,00636,2022,EXXON MOBIL CORPORATION,10000.0,400918672,1
3,EXXON MOBIL,Rep. Virgil H. Goode,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,Oil and gas company.,30000.0,Taxation/Internal Revenue Code,"Tax, trade and regulatory matters impacting the oil and gas sector.",TAX,63760,JERR ROSENBAUM,0.0,"Legislative Director, Sen. John Cornyn; Chief of Staff, Rep. Robert Hurt; Chief of Staff, Rep. Jack Kingston; Chief of Staff, Rep. Virgil Goode",89767.0,400153,G000280,01486,2022,EXXON MOBIL CORPORATION,10000.0,400918672,1
4,EXXON MOBIL,Rep. Walter Herger,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,Oil and gas company.,30000.0,Taxation/Internal Revenue Code,"Tax, trade and regulatory matters impacting the oil and gas sector.",TAX,72906,JAY SULZMANN,0.0,"Legislative Director/Health Policy Advisor, Sen. Johnny Isakson; Sr. Policy Advisor/LA/LC/SA, Rep. Wally Herger",15420.0,400176,H000528,00533,2022,EXXON MOBIL CORPORATION,10000.0,400918672,1
5,EXXON MOBIL,Rep. Ron James Kind,ClientOfLobbyistLinkedTo,Rep. ,Democrat,1.0,Oil and gas company,10000.0,Energy/Nuclear,Congressional outreach on energy policy.,ENG,70188,MICHAEL GOODMAN,0.0,"Chief of Staff House Member Office (Kind), Legislative Staff House Member Office (Braley, Barrow)",29769.0,400218,K000188,01498,2022,EXXONMOBIL,5000.0,75557,11
6,EXXON MOBIL,Rep. Bruce L. Braley,ClientOfLobbyistLinkedTo,Rep. ,Democrat,1.0,Oil and gas company,10000.0,Energy/Nuclear,Congressional outreach on energy policy.,ENG,70188,MICHAEL GOODMAN,0.0,"Chief of Staff House Member Office (Kind), Legislative Staff House Member Office (Braley, Barrow)",20719.0,412208,B001259,01845,2022,EXXONMOBIL,5000.0,75557,11
7,EXXON MOBIL,Rep. John Barrow,ClientOfLobbyistLinkedTo,Rep. ,Democrat,1.0,Oil and gas company,10000.0,Energy/Nuclear,Congressional outreach on energy policy.,ENG,70188,MICHAEL GOODMAN,0.0,"Chief of Staff House Member Office (Kind), Legislative Staff House Member Office (Braley, Barrow)",20507.0,400628,B001252,01780,2022,EXXONMOBIL,5000.0,75557,11
8,EXXON MOBIL,Rep. Pete Olson,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,Oil and gas company,10000.0,Energy/Nuclear,Congressional outreach on energy policy.,ENG,64545,TYLER BRIAN NELSON,0.0,"Chief of Staff House Member Office, Deputy Chief of Staff House Member Office, District Director (Olson)",20948.0,412302,O000168,01955,2022,EXXONMOBIL,5000.0,75557,11
9,EXXON MOBIL,Sen. John Cornyn,ClientOfLobbyistLinkedTo,Sen. ,Republican,1.0,Oil and gas company.,30000.0,Taxation/Internal Revenue Code,"Tax, trade and regulatory matters impacting the oil and gas sector.",TAX,63760,JERR ROSENBAUM,1.0,"Legislative Director, Sen. John Cornyn; Chief of Staff, Rep. Robert Hurt; Chief of Staff, Rep. Jack Kingston; Chief of Staff, Rep. Virgil Goode",40305.0,300027,C001056,01692,2022,EXXON MOBIL CORPORATION,10000.0,400918672,14
10,EXXON MOBIL,Rep. Robert Hurt,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,Oil and gas company.,30000.0,Taxation/Internal Revenue Code,"Tax, trade and regulatory matters impacting the oil and gas sector.",TAX,63760,JERR ROSENBAUM,0.0,"Legislative Director, Sen. John Cornyn; Chief of Staff, Rep. Robert Hurt; Chief of Staff, Rep. Jack Kingston; Chief of Staff, Rep. Virgil Goode",21186.0,412484,H001060,02069,2022,EXXON MOBIL CORPORATION,10000.0,400918672,14
11,EXXON MOBIL,Rep. Jack Kingston,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,Oil and gas company.,30000.0,Taxation/Internal Revenue Code,"Tax, trade and regulatory matters impacting the oil and gas sector.",TAX,63760,JERR ROSENBAUM,0.0,"Legislative Director, Sen. John Cornyn; Chief of Staff, Rep. Robert Hurt; Chief of Staff, Rep. Jack Kingston; Chief of Staff, Rep. Virgil Goode",29338.0,400221,K000220,00636,2022,EXXON MOBIL CORPORATION,10000.0,400918672,14
12,EXXON MOBIL,Rep. Virgil H. Goode,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,Oil and gas company.,30000.0,Taxation/Internal Revenue Code,"Tax, trade and regulatory matters impacting the oil and gas sector.",TAX,63760,JERR ROSENBAUM,0.0,"Legislative Director, Sen. John Cornyn; Chief of Staff, Rep. Robert Hurt; Chief of Staff, Rep. Jack Kingston; Chief of Staff, Rep. Virgil Goode",89767.0,400153,G000280,01486,2022,EXXON MOBIL CORPORATION,10000.0,400918672,14
13,EXXON MOBIL,Rep. Walter Herger,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,Oil and gas company.,30000.0,Taxation/Internal Revenue Code,"Tax, trade and regulatory matters impacting the oil and gas sector.",TAX,72906,JAY SULZMANN,0.0,"Legislative Director/Health Policy Advisor, Sen. Johnny Isakson; Sr. Policy Advisor/LA/LC/SA, Rep. Wally Herger",15420.0,400176,H000528,00533,2022,EXXON MOBIL CORPORATION,10000.0,400918672,14
