NAME,IDTYPE,IDVAL,NEW_IDTYPE,NEW_IDVAL
"KAUFMAN, EDWARD E",icpsr,40901,CAND_ID,
"KIRK, PAUL G",icpsr,40912,CAND_ID,
"GOODWIN, CARTE P",icpsr,40914,CAND_ID,
"COWAN, WILLIAM N",bioguide,C001099,icpsr,41306
"COWAN, WILLIAM N",bioguide,C001099,CAND_ID,
"CHIESA, JEFF",bioguide,C001100,icpsr,41307
"CHIESA, JEFF",bioguide,C001100,CAND_ID,
"TRUMP, DONALD J",govtrack,412733,icpsr,99912
"BALLANCE, FRANK W JR",icpsr,20339,CAND_ID,CAND002832
"JANKLOW, WILLIAM J",icpsr,20348,CAND_ID,CAND000610
"CAMPBELL, BEN NIGHTHORSE",bioguide,C000077,CAND_ID,CAND000543
"CAMPBELL, BEN NIGHTHORSE",bioguide,C000077,icpsr,95407
"FITZGERALD, PETER G",icpsr,49900,CAND_ID,CAND000881
"BREAUX, JOHN B",icpsr,13056,CAND_ID,CAND000133
"NICKLES, DONALD LEE HONORABLE",icpsr,14908,CAND_ID,CAND019670
"HOLLINGS, ERNEST FREDERICK FRITZ",bioguide,H000725,CAND_ID,CAND000294
"BUSH, GEORGE WALKER",govtrack,412375,CAND_ID,CAND043989
"BUSH, GEORGE WALKER",govtrack,412375,icpsr,99910
"BUSH, GEORGE WALKER",govtrack,412375,fec,P00003335
"CHENEY, RICHARD BRUCE",icpsr,14611,CAND_ID,CAND031017
"CHENEY, RICHARD BRUCE",icpsr,14611,fec,H8WY00015
